price,year
19,2005
12.25,1990
12,1995
28,2022
15.99,1995
10.5,1995
12.5,2000
19,2005
17.5,2000
28,2022
23,2010
21,2010
16.5,2005
23,2015
19,2005
20,2010
30,2022
25,2010
28,2022
24,2015
10,1990
20,2005
15.99,1995
36,2020
16,2000
30,2022
12.5,1990
8,1990
13.95,1995
34,2020
15,2005
20,2005
22,2010
25,2015
17.75,2000
13,1990
12,1995
28,2020
10,1990
17,2010
21,2020
26,2015
40,2022
9.5,1990
22,2015
20,2010
16,2005
27,2020
12.5,1990
21.5,2015
20,2015
11.95,1995
12,1995
9,1990
12,1995
12.95,1990
23,2015
12,1995
13,2000
18,2005
30,2022
15,2000
18.5,2015
15,2000
20,2010
22,2015
19,2005
15,2000
22,2005
22,2015
11,1990
17,2005
15.99,1995
19,2005
25,2010
8,1990
21,2005
9.5,1990
25,2020
15.99,1995
23,2015
11,1995
16,2000
12,1995
12.25,1990
22,2015
15.99,1995
22,2015
20,2010
18.99,2000
42,2022
30,2020
36,2022
15,2000
15.99,1995
21,2010
23,2010
22,2015
20,2005
22,2015
17,2005
23,2005
20,2005
28,2020
14,2000
11,1995
24,2010
14.75,1990
20,2005
12.25,1990
19,2005
20,2005
12.95,1990
22,2010
23,2015
30,2022
24,2015
18.450001,2005
16,2005
9,1990
28,2020
18,2005
34,2022
35,2022
23,2020
29,2020
22,2015
15.99,1995
13.7,1990
21,2005
22,2015
14,1995
11,1990
20,2005
36,2022
12,1990
10,1990
22,2010
28,2022
21,2010
18,2005
24,2015
11,1990
10,1990
17,2000
21,2005
21,2010
22,2015
23,2010
16,2000
27,2020
10,2000
16,2005
20,2010
23,2020
12,1995
11,1995
11,1995
25,2020
15.99,1995
32,2022
24,2015
35,2022
15,1995
10,1995
27.5,2020
23,2015
22,2010
23,2005
12.95,1990
15,1995
21,2005
15,2005
25,2015
21,2005
30,2020
20,2005
13.5,2000
13,1995
25,2020
17,2005
28,2020
20,2010
24,2015
30,2022
15,2000
12,1990
11,1995
35.5,2022
14,1995
28.5,2020
13,1995
27,2022
23,2020
17.99,2000
12,1995
21,2005
11,1995
25,2010
24,2015
13,1995
13,1995
9,1990
19,2005
29,2020
25,2015
22,2015
15,1995
15.99,1995
24,2015
21,2005
20,2010
15.5,2000
24,2020
20,2010
25,2015
13,1995
28,2015
17.75,2000
29,2010
12,1995
10,1990
10.5,1995
12.5,1995
16.25,1995
11,1995
14,2000
21,2010
22,2005
23,2015
20,2015
27,2022
30,2022
24,2020
20,2015
33,2022
13,1995
26,2020
32,2022
13.75,2000
25,2022
21,2010
17.5,2000
24.5,2010
15.99,1995
25,2020
13.95,1995
23,2010
24,2015
22,2015
23,2010
26,2020
11,1995
30,2020
18,2005
20,2005
15.99,1995
13.5,2000
12.5,1990
17.5,2005
28,2020
18,2010
19,2005
22,2010
17.99,2000
18,2005
15.95,2000
14.95,2000
18.25,1995
13,1995
25,2005
15.5,2000
8,1990
12.5,1995
19,2005
18.5,2000
10,1990
17.5,2000
16.25,1995
22,2010
9,1990
11,1995
23,2015
10,1990
16.99,1995
8,1990
16,1995
22.5,2010
14,1995
18,2015
17.99,2000
16.25,1995
9,1990
28,2020
27,2020
15,2000
14,1995
29,2020
18.5,2005
20,2005
14,1995
15.95,1995
40,2022
15.99,1995
11,1995
22,2010
20,2005
35,2022
19.5,2005
20,2010
17.99,2000
22,2015
18.75,1995
15,2000
32,2022
22,2015
14,2000
12.5,1995
32,2020
10,1990
30,2020
45,2022
11,1995
11,1990
12.5,1990
20,2005
20,2005
23,2010
12,1995
9,1990
23,2015
17.5,2000
10,1990
15,2000
11.5,1995
13,1995
30,2020
12.5,2000
20,2010
13,2000
22,2015
36,2020
10,1990
20,2005
18,2005
27,2020
30,2022
30,2020
28,2020
9.5,1990
23,2015
15,2000
19,2010
16.5,2015
30,2022
21,2005
16.5,1995
19,2005
18,2005
27,2020
19,2005
20,2015
27,2022
25,2015
20,2005
27,2020
17.5,2000
24,2015
14,1995
10,1995
22,2005
15.99,1995
12,1995
15,2000
11,1995
15,2000
22,2010
30,2022
12,1995
10,1990
18.25,1995
23,2005
16.99,1995
20,2015
12,2000
37,2020
14,2000
19,2005
18.99,2000
17.75,2000
18,2015
19,2010
23,2010
20,2015
24.959999,2020
20,2015
26,2015
12.5,1990
10,1990
30,2020
16.25,1995
12,1995
12.5,1995
35,2022
17,2010
16.25,1995
23,2015
25,2015
25,2020
15,2000
20,2010
14,1995
25,2010
12.5,1995
22.5,2010
11,1995
8.5,1990
13,1995
11,1990
16,1995
25,2020
22,2015
20,2005
24,2010
20,2020
21,2015
25,2010
9.5,1990
23,2015
18,2005
22,2015
25,2020
28,2015
17.5,2000
11.5,1995
22,2015
14.4,1990
13.75,1990
10.5,1995
15,2000
10,1990
22,2010
20,2015
12.5,2000
25,2015
22,2005
24,2010
24,2015
20,2015
17,2005
14,1995
17.5,2000
15,2000
18,2005
13,2000
20,2010
17.75,2000
20,2010
18.25,2000
18,2005
22,2020
20,2010
28,2022
13,1995
19,2005
12,1995
21,2015
18,2005
25,2020
22,2005
25,2015
16.25,1995
25,2015
24.5,2020
14,2000
15,2000
18.99,2000
19,2005
19.950001,2005
18.99,2000
18.25,2000
25,2015
24,2010
21,2015
25,2015
22,2010
8,1990
10,1995
20,2005
27,2020
12,1995
12,1995
22,2015
23,2005
15,2000
10.5,1990
16.75,2000
21,2010
26,2020
25,2015
14,1990
20,2005
18,2000
12,1990
21.950001,2015
17,2005
23,2015
22,2015
13.5,1995
22,2015
20,2005
11,1990
18,2005
15,2000
15.99,1995
21,2005
14,1995
26,2020
22,2015
10.5,1995
20,2010
25,2010
24,2015
25,2022
23,2010
23,2015
22,2010
11,1995
16,2000
21,2005
20,2010
17,2010
17.5,2000
20,2015
18,2005
25,2015
20,2010
12,2000
28,2020
20,2010
16,2000
13.2,1990
16,2005
11,1995
23,2020
22.5,2015
14,1995
20,2010
11,1995
12,1995
15.99,1995
27,2020
8.5,1990
20,2010
12.5,1990
14.5,2000
13,1995
24,2020
25,2005
12,1995
16.99,1995
28,2020
17.99,2000
12,1990
13,1990
10,1990
11,1990
35,2022
32,2022
9.5,1990
13,1995
17,2005
27,2020
12,1995
35,2020
26,2020
13,2000
23,2005
12,1995
15,2000
30,2020
20,2010
27,2020
20,2010
22.5,2015
20,2010
11,1990
16,2000
20,2015
10,1990
20,2005
29.5,2022
27,2020
16,2000
25,2010
20,2005
15,1995
17,2005
8.5,1990
30,2020
20,2005
22,2015
13,2000
35,2022
14.5,1995
16,2005
16.25,1995
11,1995
20,2010
22.5,2015
30,2020
15,1995
15,1995
22,2015
13,1995
18.25,1995
24,2020
23,2015
19,2005
20,2010
40,2022
13,1995
13.5,2000
12.5,1995
27,2020
36,2020
16,2000
20,2005
13,1995
20,2005
25,2020
24,2010
23.5,2015
21,2015
13.25,1990
12,1995
20,2005
28,2022
26,2020
15,2010
34,2020
13.5,1990
18,2015
15,2000
23,2015
24,2010
22,2020
27,2020
12,1995
18,2005
22,2010
8.5,1990
13,1995
21,2010
20,2005
27,2020
15,2000
21,2005
20,2005
9,1990
16.549999,1995
17.5,2000
13,1990
32,2020
13,1995
17,2005
11.75,1995
17,2005
28,2020
20,2005
16.549999,1995
10.95,1995
15.99,1995
10,1995
25,2020
15,2000
22,2015
22,2015
14.2,1990
20,2020
15.99,1995
24,2015
12,2005
13,1995
13,2000
25,2015
15.5,2000
13.95,1990
17.99,2000
26,2022
36,2022
24,2015
15.99,1995
13,1995
30,2022
13,1990
17,2000
26,2020
16.99,1995
25,2020
23,2015
21,2005
15,2000
14,2000
23,2010
20,2005
12,1995
14,1995
22.950001,2015
20,2005
21,2010
19,2005
26,2022
15.99,1995
34,2020
18.25,2000
27,2022
18,2005
24,2010
22,2005
17.75,2000
15,1995
20,2022
25,2020
23,2015
23,2020
23,2010
30,2015
23,2015
15,2000
19,2005
25,2020
22,2015
25,2020
35,2022
19,2005
28,2020
28,2022
30,2020
16.25,1995
22,2010
12,1995
15,2000
28.5,2022
15.99,1995
30,2022
25,2015
15,2010
18,2005
15,2000
21,2010
35,2022
24,2010
13,1995
12.5,1995
22,2010
32,2020
22,2015
16.799999,2000
12,1995
20,2015
30,2020
14,1995
25,2015
23,2015
17.99,2000
12,1990
22,2010
20,2005
24,2015
24,2015
19,2010
10.5,1990
22.5,2020
20,2010
14.5,2000
23,2022
11,1990
20,2020
19,2005
11,1995
22,2005
19,2010
14,1990
13,1995
31,2022
20,2005
12.5,1995
15.99,1995
22.5,2010
26,2020
20.75,2005
40,2022
12,1995
21,2015
16,2000
13,1995
16,2000
25,2022
28,2020
26,2022
23,2010
13,1995
12,1995
15,2000
25,2020
12,1995
12,1990
23,2020
10,1990
16,2000
20,2010
25,2020
8,1990
22,2015
14,1995
12.95,1995
25,2010
23,2020
18.99,2000
11,1995
19,2010
28,2020
21,2010
26,2020
11,1990
23,2015
20,2005
16.25,1995
26,2020
13.5,1995
12.5,1990
9,1990
22,2015
15.99,1995
18,2005
14,2000
23,2015
22,2020
23,2010
14.5,2000
11,1990
10,1990
12,1990
22,2005
11,1995
17,2000
24,2020
18,2000
22,2010
28,2020
19,2005
20,2005
12,1995
35,2020
13,1995
26,2015
12.95,1990
15.99,1995
17.75,2000
25,2015
24,2005
30,2015
17.75,2000
20,2005
24,2015
27,2020
22,2020
24,2015
28.5,2020
32,2022
21,2015
17,2005
11,1995
28.5,2022
9,1990
18,2005
19,2005
20,2005
36,2022
16,2005
26,2020
19.5,2005
9.5,1990
32,2020
30,2022
15.99,1995
14.95,1995
10,1990
13,2000
35,2022
24,2010
16.5,1995
27,2015
22,2005
26,2020
20,2010
10.5,1990
16.5,2005
15,2000
10,1990
22,2010
20,2010
24,2015
22.5,2015
32,2022
17.33,2000
10.95,1995
27.5,2020
17,2000
10,1995
17,2000
24.959999,2020
35,2022
25,2015
30,2020
14.5,1995
24,2015
11,1995
14,1995
24,2020
17,2005
21,2005
24,2015
15,2000
24.25,2005
22,2015
27,2020
17,2000
35,2022
25,2015
16,2000
14.5,2000
14,1995
21,2005
21,2015
20,2005
11,1995
22,2010
22,2015
10,1990
25,2015
14,1995
18,2005
12,1995
20,2010
12.5,2000
17,2005
13.75,2000
15,2000
19,2010
20,2010
15,2000
16.99,1995
15,2000
28,2020
12.5,1995
21,2015
20,2010
16.799999,2000
14.5,1995
20,2015
24,2015
13,2000
14,1995
16,2000
23,2015
16.25,1995
21,2005
30,2020
26,2022
35,2020
15,2000
22,2015
16.75,2000
22,2005
20,2005
26,2020
13.5,1995
9.5,1990
23,2010
12,1995
19,2005
13,1995
14,1995
22,2015
17,2005
10.5,1995
21,2010
29,2020
30,2020
24,2005
25,2015
18.25,1995
14.2,1990
30,2020
22,2005
15.99,1995
16,2000
13,1995
25,2015
15.99,1995
32,2022
10.95,1995
12,1990
29,2020
14.75,1990
25,2020
15,2000
22,2005
25,2020
13.95,1995
22.5,2015
22,2005
8,1990
9.9499998,1990
28,2020
13,1995
24,2010
14,2000
18.99,2000
19,2005
18.25,1995
30,2015
22,2015
12,1990
21,2010
16.99,1995
21,2005
22,2010
20,2005
26,2020
10,1990
22,2010
20,2010
17.5,2005
28,2020
23,2010
22,2005
29,2022
13,2000
20,2010
11,1990
9,1990
28,2022
33,2022
14,1995
14,2000
32,2022
21.950001,2010
18,2005
23,2010
16,2000
30,2020
20,2005
20,2005
17,2005
16,2000
11,1995
10,1990
29,2020
12,1995
24,2010
40,2020
20,2010
14,1995
22,2015
12,1995
18,2005
21,2015
9.5,1990
14,1995
20,2010
20,2005
14,2000
12,1995
17.75,2000
23,2010
12,1995
27,2022
20.5,2000
21,2010
25,2020
17.75,2000
22.5,2010
12,1990
13.5,2000
25,2005
11,1995
18,2005
10,1990
11,1995
11,1990
20,2010
19,2010
12,1995
30,2020
24,2005
15,1995
7,1990
14,1995
35,2020
10,1990
15,2000
25,2015
27,2022
17,2005
17,2005
15.99,1995
25,2020
12,1995
9.5,1990
22,2015
20,2005
20,2005
19,2005
13,1995
15.99,1995
10,1990
20,2010
22,2015
8.5,1990
35,2020
25,2015
23,2015
8.75,1990
14,2000
10,1990
9,1990
30,2022
20,2005
22,2015
30,2015
23,2010
11,1995
26,2015
32,2022
28,2022
23,2015
20,2010
14,2000
25,2020
15,2000
28,2020
27,2022
14,2000
21,2010
21,2010
27,2020
15.99,1995
14,1995
18,2005
20,2005
21,2005
14,2000
15.99,1995
16.25,1995
15,1995
40,2022
20,2005
19,2010
33,2022
12.25,1990
9,1990
10,1990
15,2000
17,2005
20,2010
12.25,1990
19,2005
20,2015
11.5,1990
26,2020
24,2010
27,2020
15.99,1995
13,2000
14,1995
25,2015
17,2000
25,2020
10,1990
21,2015
14,2000
9,1990
28,2020
16,2000
33,2020
22,2005
20,2010
13,1995
15.99,1995
13.75,1990
16,2000
16,2000
25,2010
9,1990
21,2005
20,2005
22,2015
11,1990
12.5,1995
20,2005
23,2015
30,2020
30,2022
20,2005
15.75,2000
12,1995
14,2000
18,2005
11,1990
19,2010
12,1995
20,2005
28,2020
12.95,1990
20,2015
30,2020
21,2005
14,1995
24,2010
12.95,1990
27,2005
34,2022
30,2020
20,2010
16,2000
13.5,1995
19,2000
20,2005
23,2010
18,2005
18.25,1995
20,2010
18,2005
18.99,2000
19,2010
30,2020
17,2010
22,2010
28,2020
25,2020
20,2005
10,1990
10.5,1995
15,2000
15,2000
40,2022
20,2010
12,1990
14,2000
15,2000
23,2015
15.99,1995
14,2000
19,2005
26,2020
28,2020
21,2015
14,1995
23,2010
29,2022
22,2010
25,2020
9.9499998,1995
29,2020
36,2022
9,1990
20,2005
27.5,2020
32,2020
15,1995
35,2022
15,2000
33,2022
18,2010
23,2015
19,2005
14.2,1990
9.5,1990
12,1995
15.5,2000
12.5,1995
15,2005
30,2022
14,1995
21,2005
10,1990
30,2022
30,2022
18,2005
20,2005
20,2005
15,2000
28,2020
16,2000
13,2000
19,2005
23,2015
20,2005
25,2010
12,1995
26,2020
14,2000
18,2000
42,2022
31,2022
20,2005
22,2020
20,2005
11,1990
17.5,2000
27,2020
23,2015
20,2015
14.95,1995
12,1995
24.5,2015
32,2022
30,2022
16,2000
20,2005
19,2005
14.95,1995
21,2015
13,1995
12,2000
12.5,1995
30,2022
20,2005
13.95,1995
22,2010
14,1995
9,1990
22.5,2015
12,1995
20,2010
14,1995
24,2015
18,2005
25,2020
28,2020
15,1995
12.5,1995
10,1995
20,2010
26,2020
20,2005
22,2015
30,2020
35,2020
25,2015
22,2015
20,2010
27,2020
14.95,1995
23,2020
35.5,2022
10,1990
20,2022
15,2000
12.5,1995
23.5,2005
26,2020
12,1990
25,2015
20,2005
24,2015
22,2015
24.5,2020
14,2000
12.5,1995
10,1990
11,1995
12,1995
15.99,1995
20,2005
12.5,1995
24,2010
28,2022
26,2020
12,1995
15,1995
21,2005
17.5,2000
17.5,2000
12,1990
25,2010
22,2010
19,2005
20,2005
19,2005
25,2015
16,2005
21,2010
16.549999,1995
25,2020
23,2010
19,2005
20,2005
23,2010
22,2022
28,2022
25,2020
20,2010
25,2015
21,2015
35,2022
21,2015
20,2005
18.950001,2005
15.99,1995
30,2020
22,2005
13,1995
28,2022
12,1995
14.95,1995
20,2005
24,2015
28,2020
24,2005
25,2020
15,2000
18,2005
20,2005
22,2010
17.5,2000
16,2000
25,2015
10,1990
27,2020
21,2020
13,1995
15,2000
24,2010
32,2020
15,1995
30,2020
22,2005
24,2020
18,2005
13,2000
14,2000
14,1990
12,1995
30,2020
25,2020
20,2010
18.5,2005
20,2010
22,2010
21,2010
18,2005
30,2020
35,2022
32,2022
17.75,2000
13,1995
17.75,2000
32,2020
22,2015
13,2000
17,2010
20,2010
25,2010
28,2022
23,2015
26,2015
17.75,2000
12.5,1995
15,2000
24,2015
22,2010
34,2022
20,2010
14.95,2000
22,2010
18,2005
15,2000
22,2005
15,2000
20,2005
19,2005
22.5,2010
15.99,1995
15,2005
13,2000
21,2010
12.5,1990
20,2005
12,1995
22,2022
16,2000
30,2022
10,1995
15,2000
29,2020
27,2020
15,1995
14,1995
15,2000
24,2010
15.99,1995
13,2000
19,2005
11.5,1995
18,2005
30,2020
24.5,2010
20,2015
15,2000
27,2020
25,2010
14,2000
17,2005
11,1990
24,2010
18.5,2005
10,1990
30,2015
27,2015
28,2020
14.5,2000
12,1995
8.8999996,1990
24,2010
10,1990
25,2022
21,2005
11,1995
14.75,1990
29,2020
23,2015
20,2010
11,1995
26,2020
27,2020
16,2000
8.5,1990
27,2020
9,1990
13.5,1995
13,1995
10.5,1995
24,2010
10.95,1990
38,2022
15,2000
27,2020
25,2015
17,2005
14,2000
12,2000
25,2010
18,2015
29,2020
14,2000
15.99,1995
10,1990
10.5,1995
16.25,1995
11,1990
11,1995
10,1990
14.95,1995
19,2005
23,2020
16,2005
23,2010
20,2010
15.99,1995
12,1990
21,2010
30,2022
27,2020
15,2000
12,1990
22,2020
13.75,1995
25,2015
15,2000
24,2010
24,2015
12.5,1995
12,1990
14,1995
22,2010
12.5,1995
28,2020
10,1990
19,2000
24,2015
19,2005
17.5,2005
20,2005
24,2015
31,2022
15.99,1995
12.5,1990
24,2010
12,1995
27,2020
23,2020
30,2022
11,1990
14,2000
11,1995
14.5,2000
22,2010
13,1995
14,2000
17,2005
14.5,2000
28,2020
15.99,1995
19.5,2000
14.95,2000
25.5,2015
30,2020
24,2022
11,1995
21,2010
16,2000
20,2005
11.95,1990
20,2005
24,2015
11.5,1990
23,2010
20,2005
23,2015
40,2022
22,2005
22,2010
21.950001,2015
22,2015
12.5,1995
27,2022
29,2022
32,2022
26,2020
14.4,1990
21,2015
27,2020
25,2015
19,2005
21.5,2015
24,2010
20,2005
18.950001,2005
14.5,2000
21,2005
18,2005
21,2010
24.5,2015
10.95,1995
23,2015
20,2010
9.5,1990
19,2010
15,2000
20,2015
20,2015
9,1990
13.95,1995
24,2015
20,2015
15.5,2000
11,1990
22,2010
11,1995
27,2020
22.5,2005
30,2022
21,2005
25,2015
20,2010
13,1995
21,2010
16.99,1995
18,2005
10,1990
17,2005
12.25,1990
20,2005
27,2020
20,2005
30,2020
15,2010
19.5,2000
18.75,2010
20,2005
13,1995
20,2015
20,2005
20,2010
24,2010
33,2022
10,1990
22,2010
11,1990
11,1990
34,2022
13,1995
30,2020
21,2010
12.95,1990
16.25,2000
17.99,2000
12,1990
24,2015
13,1995
28,2020
10,1995
25,2020
20,2010
32,2022
13,1990
20,2010
15.5,2000
20,2005
28,2020
14,1995
14,1995
14.75,1990
32,2020
13,1995
23,2010
23,2010
15.99,1995
17,2000
28,2020
22,2010
17.75,2000
22,2010
22,2010
22,2010
16,2000
17,2005
22,2022
19,2005
21,2005
12.25,1990
27,2020
22,2005
26,2005
14,2000
13.95,1990
26,2020
26,2022
20,2005
23,2010
17,2000
12,1990
27,2020
24.75,2010
12,1995
22,2010
24,2000
16,2005
14,1995
18,2000
24,2010
28,2020
15,2000
20,2010
10,1995
17,2010
15.99,1995
24,2010
11,1990
25,2015
22,2010
15.99,1995
18,2005
11,1995
20,2005
9,1990
23,2010
24.75,2010
29,2022
15,2000
14,1995
30,2015
20,2005
14,1995
11,1990
25,2015
23,2010
15.99,1995
13,1990
16.25,1995
24,2010
27,2022
27,2015
14,2000
15.99,1995
13.95,1995
20,2010
20,2020
13.4,1990
22.5,2015
9.5,1990
20,2005
18,2005
23,2015
26,2020
12.5,1990
28,2022
25,2020
18.25,1995
12,1995
12,1995
23,2015
20,2010
15,2000
25,2020
17.5,2005
8,1990
18,2005
24,2015
13.95,1995
24,2005
12.5,1995
30,2022
21,2005
27,2020
13.5,2000
10.5,1995
17.99,2000
24,2010
10.5,1990
18.25,1995
21,2010
32,2022
14,1995
16.549999,1995
19,2005
20,2010
13,1995
14.4,1990
24,2020
24,2015
12,2000
20,2010
13,1995
27,2020
21.950001,2015
15,2000
21,2020
18,2005
21,2015
27,2020
12,1995
35,2022
24,2015
20,2005
18,2005
25,2020
25,2015
23,2022
24,2010
23,2010
15,1995
32,2022
16,2000
25,2010
20,2005
16.99,1995
13,1995
15.5,1995
24,2020
25,2005
22,2010
22,2015
23,2010
17.5,2000
23,2010
19.5,2010
13,1995
12,1995
22,2005
20,2010
26,2020
13,2000
16,2000
22,2010
30,2022
22,2015
11,1995
27,2020
12,1995
25,2010
13,1995
11,1990
12.5,2000
15.99,1995
15.99,1995
25,2015
23,2015
17,2005
15.95,1995
24,2010
21,2005
28,2020
20,2010
24,2022
33,2020
18,2000
35,2022
22,2010
13.25,1990
15.99,1995
24,2015
25,2015
21,2010
30,2022
32,2022
25,2010
20,2010
24,2020
12.5,1995
22,2010
22,2010
27,2022
14,2000
22,2015
12,1995
14,2000
20,2015
11.5,1995
25,2015
35,2020
20,2005
18,2005
26,2010
13,1990
30,2022
24,2005
9.5,1990
15.99,1995
24,2020
18,2005
15,1995
20,2005
22,2010
24,2005
35,2022
32,2020
22,2010
30,2022
33,2022
30,2022
9,1990
25,2010
19,2005
11,1995
22,2015
26,2020
18,2000
14.4,1990
12,1990
30,2020
20,2005
11,1990
14,1995
17,2010
30,2020
20,2005
10.5,1990
25,2010
16.99,1995
20,2005
18.99,2000
24,2010
20,2005
14,2000
18,2000
19.5,2005
35,2022
21,2005
23,2015
20,2005
14,2000
19,2005
13,1995
24,2015
22,2010
13,1995
17.75,2000
10,1995
13,2000
14,1995
24,2010
35,2022
18.950001,2005
22,2015
19.99,2005
18.5,2005
19.5,2010
18,2005
23,2015
18,2005
11,1990
12,1995
19.5,2005
22,2015
25,2015
30,2022
24,2005
25,2010
17,2005
21,2020
25,2015
30,2010
22,2015
24,2010
17.75,2000
30,2020
16.99,1995
14,1995
15.95,1990
19,2000
28,2020
13,1995
34,2022
22,2010
20,2010
12.5,1995
27,2022
21,2020
12,1990
15,2000
19.5,2005
13,2000
19,2005
32,2022
20,2010
25,2010
27,2022
27,2005
13,1995
32,2022
38,2022
27,2022
13,1995
21,2010
11,1995
14,1995
16,2005
8,1990
22,2005
19,2010
11,1990
33,2022
20,2010
24,2015
24,2010
27,2020
14,2000
15,1995
14,2000
24,2010
12.95,1990
18.25,1995
15,2000
20,2010
17.75,2000
20,2010
16,2000
11,1995
17.75,2000
14.5,2000
8.5,1990
22,2010
24,2010
25,2020
13.25,1990
23,2020
21,2010
20,2010
15,2000
8.5,1990
30,2020
14,2000
18.5,2015
16,2000
25,2020
19.5,2005
21,2010
28,2020
20,2010
27,2020
19,2005
14.5,2000
20,2005
12,1995
11,1995
22,2005
24,2020
13.95,1995
19,2015
16.99,1995
20,2010
18,2010
26,2020
24,2005
21,2020
11,1990
15.99,1995
11,1995
15.99,1995
20,2005
10.5,1995
35,2022
27,2015
19,2005
28,2020
30,2020
12,1995
21,2010
25,2015
22,2005
13,1990
19,2005
22,2010
12.25,1990
17.99,2000
13.4,1990
25.5,2015
12,1995
19,2005
30,2020
15,2000
12.5,1990
18,2005
25,2015
12,1990
28,2020
11,1990
15,2000
24,2010
15.99,1995
24,2010
20.4,2000
28,2020
22,2020
20,2005
14.5,1995
12,1990
15.99,1995
32,2022
21,2010
21,2010
19.5,2005
14,2000
20,2015
13,1995
20,2005
21,2010
19,2005
24.75,2010
14,1995
16,2000
27,2020
22.5,2015
19,2005
35,2020
30,2020
35,2022
35,2022
24,2022
20,2005
16,2000
25,2010
18.25,1995
20,2005
9,1990
30,2020
20,2005
14,1995
12.95,1990
23,2020
22,2010
22,2005
19,2005
17,2005
23,2010
20,2005
22,2015
22,2015
19.5,2010
19.99,2000
15.99,1995
12,1995
22,2010
9,1990
29,2022
15,2000
13.75,1990
22,2015
19,2005
37,2022
12.25,1990
32,2020
25,2015
24.959999,2015
35,2022
12.95,1995
25,2010
19.75,2005
22,2020
20,2005
13,1995
24,2015
12,1995
17,2000
26,2015
30,2022
10.45,1990
22,2010
22,2015
14,1995
26,2020
14,1995
14,1995
15.99,1995
17,2010
22,2010
13.5,2000
28,2020
25,2010
22.5,2005
28,2020
17,2005
30,2022
23,2015
14,2000
25,2020
20,2005
30,2022
16,2000
25,2020
21,2015
12,1995
13,1995
8.5,1990
17.75,2000
9,1990
18,2005
28,2020
24,2010
22,2022
12,1995
29,2020
21,2015
23,2015
24,2005
13,2000
14.5,2000
24,2010
20,2005
19.99,2000
20,2015
15.99,1995
14,1995
15.5,2000
23,2010
32,2020
9,1990
12.5,1995
22,2010
10,1990
25,2022
33,2022
25,2020
11,1990
25,2010
12.95,1990
15.99,1995
21,2010
22,2010
16.99,1995
18,2005
21,2010
20,2010
9.5,1990
25,2010
18.99,2000
15.99,1995
20,2015
20,2005
24,2020
17.99,2000
35,2020
11.5,1995
15,2000
18,2005
32,2015
14,1995
12.95,1990
11,1995
12,1995
25,2015
22,2005
11,1995
11,1990
18.99,2000
25,2020
27,2022
21,2010
19,2005
12,1995
22,2015
20,2005
23,2015
13,2000
28,2015
27,2020
12,2000
18,2005
20,2005
17.75,2000
28,2020
20.5,2000
32,2022
21,2010
13,1995
23,2015
28,2022
13.5,1995
15,2000
26,2020
14,1995
24,2020
15,2000
13.25,1990
25,2010
11,1995
16,2000
20,2010
19.5,2005
19,2010
24,2010
21,2005
9,1990
10,1990
28,2020
9.75,1990
14,1995
21,2015
12.95,1990
14,2000
26,2022
12,1990
21,2005
21,2005
30,2022
18,2005
16,2000
13,1995
16,2000
15,2000
17,2000
32,2020
20,2005
28,2015
35,2022
9,1990
17.5,2000
30,2020
15,2000
25,2015
30,2020
35,2022
35,2022
15.99,1995
15,2000
25,2015
23,2010
18,2005
29,2022
14.5,2000
14,1995
17,2010
18,2000
24,2010
17,2005
25,2020
13.5,1995
8.5,1990
20,2015
27,2015
18,2005
32,2020
25,2015
20,2005
21,2015
17,2005
9.5,1990
11,1995
25,2020
18,2005
21,2020
11,1990
25,2020
21,2010
23,2015
20,2010
20,2005
11,1990
11,1990
23,2010
15,2000
10.5,1990
27,2015
24,2010
14,2000
25,2020
24,2010
25,2010
14.95,1995
21,2010
14.95,1995
13.5,2000
15.99,1995
23,2015
22,2010
16.99,1995
15,2000
23,2005
21,2015
10,1990
20,2005
18,2005
15,1995
23,2010
16,2000
22.5,2010
37.5,2022
19,2005
32,2020
18,2010
13,1995
11,1990
16.25,1995
14,2000
20,2020
12,1995
8.5,1990
12,1995
34,2022
12,1995
11,1995
16,2000
26.5,2020
20,2010
33,2020
22,2015
13.5,2000
20,2015
14,1995
14,1995
30,2022
20,2005
35,2022
14,1995
26,2020
15,2000
18,2005
12,2000
20,2010
30,2022
15.99,1995
26,2020
22,2010
14,2005
40,2022
12,1995
17.99,2000
28,2020
14.4,1990
23.5,2015
27,2020
19,2010
17,2005
12,2000
14,2000
16.99,1995
13,1995
23,2015
15,2005
23,2010
16.549999,1995
13,2000
22,2015
16.5,1995
17.5,2000
28,2020
15.99,1995
23,2015
20,2005
19.99,2015
10,1990
24,2010
15,2005
29,2020
28,2015
21,2015
14,1995
17.75,2000
20,2005
11,1990
17.5,2000
18.5,2000
26,2020
12.95,1990
28,2020
13,1990
18.25,1995
28,2020
12.95,1990
30,2020
27,2010
26,2020
28,2020
11,1990
28,2020
22,2015
23,2020
10,1990
23.75,2010
14.2,1990
28,2020
27,2020
22,2015
23,2015
30.5,2010
20,2005
10,1990
27,2020
21,2010
20,2005
35,2022
21,2015
17.75,2000
16,2005
38,2022
16.99,1995
26.5,2020
12.75,1990
17,2000
25,2020
23,2015
15.99,1995
27,2020
19,2005
11.75,1995
15.99,1995
17,2005
12,1995
11,1995
13,1995
19,2005
10,1990
11,1995
18,2005
19,2005
23,2020
20,2010
12,1990
23,2015
23,2010
20,2010
24,2015
17,2000
19,2005
30,2020
17.5,2000
30,2022
15,1995
20,2010
8,1990
24,2020
22,2015
12,1995
24,2010
26,2015
24,2015
